T1,T2,H1,H2,M1,M2,R1,R2
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Sonja BLM,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Kat AST,Lloyd DRG,Blyze NIN,Sonja MCH,Livia DNC
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Sonja DNC,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Leone MNK,Livia DRG,Sonja SMN,Kat RDM
Celaena PLD,Prims DRK,Blyze WHM,Kat AST,Leone MNK,Lloyd DRG,Sonja BRD,Livia DNC
Prims PLD,Livia DRK,Blyze WHM,Celaena AST,Arg DRG,Leone NIN,Kat DNC,Sonja BLM
Blyze PLD,Arg DRK,Kat WHM,Celaena AST,Lloyd DRG,Sonja NIN,Livia DNC,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Leone DRG,Livia NIN,Kat BRD,Sonja MCH
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Lloyd DRG,Leone NIN,Kat BRD,Sonja DNC
Prims DRK,Sonja GNB,Blyze SCH,Celaena AST,Leone MNK,Livia NIN,Arg SMN,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Leone NIN,Livia DNC,Sonja RDM
Livia PLD,Sonja GNB,Blyze WHM,Kat AST,Lloyd DRG,Prims SAM,Arg SMN,Leone RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Arg DRG,Sonja MCH,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Arg DRG,Livia NIN,Sonja SMN,Kat RDM
Celaena PLD,Prims DRK,Kat WHM,Blyze SCH,Lloyd DRG,Leone NIN,Sonja BLM,Arg SMN
Sonja PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Prims SAM,Livia DNC,Kat RDM
Sonja PLD,Arg DRK,Celaena WHM,Kat AST,Lloyd DRG,Blyze NIN,Livia DNC,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Kat AST,Lloyd DRG,Blyze NIN,Livia DNC,Sonja BLM
Celaena PLD,Prims DRK,Kat WHM,Blyze AST,Arg DRG,Leone NIN,Sonja BRD,Livia DNC
Prims PLD,Leone GNB,Blyze SCH,Celaena AST,Arg DRG,Livia NIN,Sonja MCH,Kat RDM
Prims PLD,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Sonja SAM,Livia DNC,Arg SMN
Prims DRK,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Sonja MCH,Kat RDM
Prims DRK,Sonja GNB,Celaena WHM,Livia AST,Blyze DRG,Leone NIN,Arg SMN,Kat RDM
Blyze PLD,Prims DRK,Kat WHM,Celaena AST,Leone MNK,Livia DRG,Sonja DNC,Arg SMN
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Blyze MNK,Leone NIN,Arg SMN,Sonja RDM
Prims PLD,Arg DRK,Kat WHM,Celaena AST,Blyze MNK,Lloyd DRG,Sonja BLM,Leone RDM
Livia PLD,Prims DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Sonja WAR,Prims DRK,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Livia DNC,Kat RDM
Prims PLD,Arg DRK,Kat WHM,Celaena AST,Leone NIN,Blyze SAM,Livia DNC,Sonja BLM
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat DNC,Sonja RDM
Celaena PLD,Arg DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Sonja BRD,Kat RDM
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Blyze MNK,Lloyd DRG,Sonja BLM,Leone RDM
Sonja WAR,Prims DRK,Celaena WHM,Kat AST,Livia NIN,Blyze SAM,Arg SMN,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja MNK,Livia NIN,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Sonja BLM,Kat RDM
Prims DRK,Leone GNB,Celaena WHM,Blyze SCH,Sonja DRG,Livia NIN,Kat DNC,Arg SMN
Prims DRK,Leone GNB,Blyze WHM,Livia AST,Lloyd DRG,Sonja SAM,Kat DNC,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Sonja SAM,Kat BRD,Leone RDM
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze SAM,Kat BRD,Arg SMN
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Lloyd DRG,Sonja NIN,Kat BRD,Leone RDM
Prims PLD,Livia DRK,Blyze SCH,Kat AST,Leone MNK,Lloyd DRG,Arg SMN,Sonja RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Sonja DNC,Kat RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Leone MNK,Livia DRG,Kat DNC,Sonja BLM
Blyze PLD,Arg DRK,Celaena WHM,Kat AST,Lloyd DRG,Prims SAM,Livia DNC,Sonja BLM
Sonja DRK,Leone GNB,Blyze SCH,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Blyze NIN,Kat DNC,Sonja RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Sonja DRG,Blyze NIN,Kat BRD,Leone RDM
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Blyze MNK,Arg DRG,Sonja DNC,Leone RDM
Arg DRK,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Sonja BLM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Blyze NIN,Sonja MCH,Kat RDM
Celaena PLD,Sonja WAR,Blyze WHM,Livia AST,Arg DRG,Prims SAM,Kat DNC,Leone RDM
Prims PLD,Livia DRK,Blyze WHM,Celaena AST,Sonja DRG,Leone NIN,Arg SMN,Kat RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Sonja NIN,Kat DNC,Leone RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Sonja NIN,Kat BRD,Livia DNC
Celaena PLD,Arg DRK,Kat WHM,Blyze AST,Livia DRG,Prims SAM,Sonja BRD,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Prims SAM,Kat DNC,Sonja BLM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone NIN,Prims SAM,Sonja MCH,Kat RDM
Celaena PLD,Leone GNB,Blyze SCH,Livia AST,Arg DRG,Prims SAM,Kat BRD,Sonja DNC
Sonja WAR,Prims DRK,Kat WHM,Blyze AST,Lloyd DRG,Leone NIN,Livia DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze SAM,Sonja DNC,Kat RDM
Celaena PLD,Prims DRK,Blyze SCH,Livia AST,Arg DRG,Leone NIN,Sonja SMN,Kat RDM
Livia PLD,Arg DRK,Blyze WHM,Celaena AST,Leone MNK,Prims SAM,Kat BRD,Sonja DNC
Livia PLD,Prims DRK,Kat WHM,Celaena AST,Blyze MNK,Sonja NIN,Arg SMN,Leone RDM
Blyze PLD,Arg DRK,Celaena WHM,Livia AST,Leone DRG,Prims SAM,Kat BRD,Sonja MCH
Sonja PLD,Prims DRK,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Arg SMN,Leone RDM
Prims PLD,Livia DRK,Blyze SCH,Celaena AST,Leone MNK,Sonja NIN,Kat DNC,Arg SMN
Livia PLD,Sonja DRK,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Livia DRG,Sonja BRD,Kat RDM
Blyze PLD,Prims DRK,Celaena WHM,Kat AST,Lloyd DRG,Leone NIN,Sonja BRD,Arg SMN
Livia PLD,Arg DRK,Kat WHM,Blyze AST,Lloyd DRG,Prims SAM,Sonja BLM,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat DNC,Sonja SMN
Sonja PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Kat BRD,Arg SMN
Prims PLD,Arg DRK,Kat WHM,Livia AST,Lloyd DRG,Blyze NIN,Sonja BRD,Leone RDM
Prims PLD,Livia DRK,Blyze WHM,Kat AST,Lloyd DRG,Leone NIN,Sonja BRD,Arg SMN
Celaena PLD,Leone GNB,Kat WHM,Blyze AST,Lloyd DRG,Sonja SAM,Livia DNC,Arg SMN
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Sonja MNK,Lloyd DRG,Arg SMN,Kat RDM
