T1,T2,H1,H2,D1,D2,D3,D4
Prims PLD,Livia DRK,Celaena WHM,Kat AST,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Livia PLD,Prims DRK,Kat WHM,Celaena SGE,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Prims PLD,Livia DRK,Kat AST,Celaena SGE,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Celaena PLD,Prims DRK,Kat WHM,Livia AST,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Livia PLD,Prims DRK,Kat AST,Celaena SGE,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Prims PLD,Livia DRK,Kat WHM,Celaena AST,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Prims PLD,Livia DRK,Kat WHM,Celaena SGE,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Livia PLD,Prims DRK,Kat WHM,Celaena AST,Leone MNK,Blyze SAM,Sonja DNC,Arg SMN
Blyze PLD,Leone GNB,Kat WHM,Celaena SGE,Arg DRG,Prims SAM,Livia DNC,Sonja SMN
Blyze PLD,Leone GNB,Kat WHM,Celaena AST,Arg DRG,Prims SAM,Livia DNC,Sonja SMN
Celaena PLD,Leone GNB,Kat WHM,Blyze SCH,Arg DRG,Prims SAM,Livia DNC,Sonja SMN
Celaena PLD,Leone GNB,Blyze WHM,Kat AST,Arg DRG,Prims SAM,Livia DNC,Sonja SMN
Celaena PLD,Leone GNB,Kat WHM,Blyze AST,Arg DRG,Prims SAM,Livia DNC,Sonja SMN
Blyze PLD,Leone GNB,Celaena WHM,Kat AST,Arg DRG,Prims SAM,Livia DNC,Sonja SMN
Blyze PLD,Leone GNB,Kat AST,Celaena SGE,Arg DRG,Prims SAM,Livia DNC,Sonja SMN
